PASSENGERS,DISTANCE,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,ORIGIN_AIRPORT_ID,ORIGIN,DEST_AIRPORT_ID,DEST,YEAR,MONTH
5456.00,3176.00,DL,Delta Air Lines Inc.,DL,12986,LIM,10397,ATL,2023,1
5457.00,3193.00,UA,United Air Lines Inc.,UA,11618,EWR,11435,DUB,2023,1
5458.00,2090.00,DL,Delta Air Lines Inc.,DL,13252,MEX,12478,JFK,2023,3
5464.00,938.00,NK,Spirit Air Lines,NK,15923,XPL,11697,FLL,2023,3
5466.00,7422.00,UA,United Air Lines Inc.,UA,14771,SFO,15258,TLV,2023,1
5467.00,6842.00,AA,American Airlines Inc.,AA,11298,DFW,12277,ICN,2023,2
5471.00,1523.00,AA,American Airlines Inc.,AA,14293,PUJ,14100,PHL,2023,3
5471.00,1941.00,NK,Spirit Air Lines,NK,12051,GYE,11697,FLL,2023,3
5472.00,1095.00,UA,United Air Lines Inc.,UA,11618,EWR,13605,NAS,2023,3
5472.00,3986.00,UA,United Air Lines Inc.,UA,11618,EWR,10549,BER,2023,3
5475.00,3133.00,UA,United Air Lines Inc.,UA,12986,LIM,12266,IAH,2023,1
5476.00,5231.00,UA,United Air Lines Inc.,UA,12266,IAH,11760,FRA,2023,2
5477.00,4530.00,UA,United Air Lines Inc.,UA,13930,ORD,13518,MUC,2023,1
5478.00,1782.00,AA,American Airlines Inc.,AA,14312,PVR,13930,ORD,2023,3
5479.00,4797.00,DL,Delta Air Lines Inc.,DL,13518,MUC,10397,ATL,2023,3
5480.00,1804.00,DL,Delta Air Lines Inc.,DL,13487,MSP,14312,PVR,2023,1
5480.00,4396.00,AA,American Airlines Inc.,AA,11057,CLT,11760,FRA,2023,3
5485.00,2355.00,DL,Delta Air Lines Inc.,DL,10397,ATL,15455,UIO,2023,2
5486.00,324.00,9E,Endeavor Air Inc.,9E,12953,LGA,16217,YUL,2023,1
5489.00,2685.00,AS,Alaska Airlines Inc.,AS,11032,CUN,14747,SEA,2023,1
5489.00,3832.00,DL,Delta Air Lines Inc.,DL,12478,JFK,10517,BCN,2023,2
5491.00,2119.00,AS,Alaska Airlines Inc.,AS,11032,CUN,12892,LAX,2023,1
5498.00,540.00,B6,JetBlue Airways,B6,11697,FLL,13180,MBJ,2023,2
5502.00,4166.00,DL,Delta Air Lines Inc.,DL,13487,MSP,10292,AMS,2023,2
5503.00,4579.00,AA,American Airlines Inc.,AA,11057,CLT,13518,MUC,2023,3
5504.00,3193.00,UA,United Air Lines Inc.,UA,11435,DUB,11618,EWR,2023,1
5505.00,2304.00,B6,JetBlue Airways,B6,14312,PVR,12478,JFK,2023,3
5509.00,3656.00,UA,United Air Lines Inc.,UA,11618,EWR,10292,AMS,2023,2
5511.00,820.00,UA,United Air Lines Inc.,UA,12266,IAH,11874,GDL,2023,3
5512.00,2626.00,B6,JetBlue Airways,B6,12986,LIM,11697,FLL,2023,3
5515.00,4869.00,AA,American Airlines Inc.,AA,11298,DFW,14717,SCL,2023,1
5517.00,669.00,NK,Spirit Air Lines,NK,10878,CAP,11697,FLL,2023,1
5517.00,2032.00,AA,American Airlines Inc.,AA,14293,PUJ,11298,DFW,2023,3
5518.00,255.00,B6,JetBlue Airways,B6,12073,HAV,11697,FLL,2023,1
5518.00,1096.00,AA,American Airlines Inc.,AA,11868,GCM,11057,CLT,2023,3
5519.00,3832.00,AA,American Airlines Inc.,AA,10517,BCN,12478,JFK,2023,1
5519.00,5016.00,UA,United Air Lines Inc.,UA,11915,GIG,12266,IAH,2023,1
